apnid,APPEAL_NOTIFIED_DATE,APPEAL_DEC_DATE,APPEAL_DECISION,APPEAL_TYPE
1781/05,02-06-2006,04-10-2006,ATTACH CONDITIONS,Written Evidence
1773/05,25-05-2005,14-10-2005,GRANT PERMISSION,Written Evidence
1755/05,19-05-2005,06-07-2005,APPEAL WITHDRAWN,Written Evidence
1780/05,05-08-2005,09-12-2005,GRANT PERMISSION,Written Evidence
1779/05,20-05-2005,20-01-2006,GRANT PERMISSION,Written Evidence
1783/05,23-05-2005,14-06-2005,LEAVE TO APPEAL REFUSED,Informal Hearing
1833/05,31-05-2005,29-09-2005,REFUSE PERMISSION,Written Evidence
1837/05,31-05-2005,21-10-2005,GRANT PERMISSION,Written Evidence
1880/05,03-06-2005,05-09-2005,APPEAL WITHDRAWN,Written Evidence
1894/05,01-06-2005,30-09-2005,GRANT PERMISSION,Written Evidence
1895/05,01-07-2005,09-11-2005,ATTACH CONDITIONS,Written Evidence
1942/05,31-08-2005,23-12-2005,AMEND CONDITIONS,Written Evidence
1935/05,21-06-2005,07-07-2005,APPEAL WITHDRAWN,Written Evidence
1927/05,20-05-2005,19-09-2005,GRANT PERMISSION,Written Evidence
1963/05,01-06-2005,30-09-2005,REFUSE PERMISSION,Written Evidence
1973/05,08-06-2005,22-12-2005,GRANT PERMISSION,Written Evidence
1959/05,31-05-2005,27-09-2005,REFUSE PERMISSION,Written Evidence
2108/05,09-06-2005,10-10-2005,REFUSE PERMISSION,Written Evidence
2058/05,14-06-2005,05-10-2005,GRANT PERMISSION,Written Evidence
2042/05,15-06-2005,07-10-2005,GRANT PERMISSION,Written Evidence
2037/05,07-12-2005,13-04-2006,GRANT PERMISSION,Written Evidence
2109/05,15-06-2005,12-07-2005,LEAVE TO APPEAL REFUSED,Informal Hearing
2121/05,17-06-2005,17-10-2005,GRANT PERMISSION,Written Evidence
2119/05,12-09-2005,09-02-2006,GRANT PERMISSION,Written Evidence
2107/05,02-06-2005,29-09-2005,GRANT PERMISSION,Written Evidence
2122/05,22-06-2005,07-10-2005,GRANT PERMISSION,Written Evidence
2130/05,13-06-2005,23-06-2005,APPLICATION WITHDRAWN,Written Evidence
2179/05,17-06-2005,14-12-2005,REFUSE PERMISSION,Written Evidence
2195/05,22-06-2005,NULL,NULL,Written Evidence
2201/05,21-06-2005,09-11-2005,GRANT PERMISSION,Written Evidence
2242/05,28-06-2005,26-10-2005,REFUSE PERMISSION,Written Evidence
2237/05,04-07-2005,01-11-2005,REFUSE PERMISSION,Written Evidence
2232/05,27-01-2006,23-06-2006,GRANT PERMISSION,Written Evidence
2225/05,03-01-2006,05-05-2006,GRANT PERMISSION,Written Evidence
2236/05,23-06-2005,11-10-2005,REFUSE PERMISSION,Written Evidence
2223/05,03-01-2006,05-05-2006,GRANT PERMISSION,Written Evidence
2269/05,01-07-2005,01-11-2005,SPLIT DECISION,Written Evidence
2297/05,11-10-2005,05-12-2005,APPLICATION WITHDRAWN,Written Evidence
2229/05,28-06-2005,14-11-2005,GRANT PERMISSION,Written Evidence
2277/05,04-07-2005,01-11-2005,GRANT PERMISSION,Written Evidence
2299/05,NULL,NULL,NULL,NULL
2282/05,28-06-2005,21-12-2005,GRANT PERMISSION,Written Evidence
2308/05,19-07-2005,20-01-2006,GRANT PERMISSION,Written Evidence
2305/05,14-09-2005,24-01-2006,GRANT PERMISSION,Written Evidence
2325/05,05-07-2005,16-11-2005,REFUSE PERMISSION,Written Evidence
2336/05,11-07-2005,28-10-2005,REMOVE CONDITIONS,Written Evidence
2317/05,04-07-2005,01-11-2005,REFUSE PERMISSION,Written Evidence
2362/05,04-07-2005,02-11-2005,REFUSE PERMISSION,Written Evidence
2303/05,04-07-2005,22-12-2005,SPLIT DECISION,Written Evidence
2361/05,05-07-2005,21-11-2005,REFUSE PERMISSION,Written Evidence
2355/05,11-07-2005,28-02-2006,REFUSE PERMISSION,Written Evidence
2379/05,04-07-2005,22-11-2005,GRANT PERMISSION,Written Evidence
2381/05,01-07-2005,28-10-2005,GRANT PERMISSION,Written Evidence
2350/05,29-09-2005,17-02-2006,REFUSE PERMISSION,Written Evidence
2369/05,04-07-2005,01-11-2005,REFUSE PERMISSION,Written Evidence
2427/05,30-01-2006,10-04-2008,GRANT PERMISSION,Written Evidence
2453/05,13-07-2005,09-11-2005,REFUSE PERMISSION,Written Evidence
2473/05,12-07-2005,08-11-2005,REFUSE PERMISSION,Written Evidence
2475/05,14-07-2005,29-08-2005,APPLICATION WITHDRAWN,Written Evidence
2478/05,14-07-2005,14-11-2005,GRANT PERMISSION,Written Evidence
2460/05,13-07-2005,08-11-2005,REFUSE PERMISSION,Written Evidence
2487/05,18-07-2005,29-11-2005,GRANT PERMISSION,Written Evidence
2492/05,13-07-2005,08-02-2006,GRANT PERMISSION,Written Evidence
2516/05,14-07-2005,13-01-2006,REFUSE PERMISSION,Written Evidence
2538/05,03-10-2005,28-11-2005,APPEAL WITHDRAWN,Written Evidence
2550/05,18-07-2005,30-01-2005,REFUSE PERMISSION,Written Evidence
2549/05,12-12-2005,25-05-2006,REFUSE PERMISSION,Written Evidence
2570/05,19-07-2005,21-11-2005,REFUSE PERMISSION,Written Evidence
2583/05,14-07-2005,11-11-2005,GRANT PERMISSION,Written Evidence
2576/05,12-07-2005,25-10-2005,REMOVE CONDITIONS,Written Evidence
2603/05,03-10-2005,22-05-2006,GRANT PERMISSION,Written Evidence
2629/05,18-01-2006,03-08-2006,GRANT PERMISSION,Written Evidence
2654/05,21-10-2005,02-03-2006,GRANT PERMISSION,Written Evidence
2604/05,26-10-2005,03-03-2006,GRANT PERMISSION,Written Evidence
2652/05,18-07-2005,18-11-2005,REFUSE PERMISSION,Written Evidence
2668/05,25-07-2005,21-11-2005,GRANT PERMISSION,Written Evidence
2643/05,01-09-2005,11-01-2006,GRANT PERMISSION,Written Evidence
2705/05,27-07-2005,25-11-2005,GRANT PERMISSION,Written Evidence
2707/05,13-09-2005,09-02-2006,GRANT PERMISSION,Written Evidence
2708/05,26-07-2005,15-02-2006,GRANT PERMISSION,Written Evidence
2734/05,27-07-2005,28-02-2006,REFUSE PERMISSION,Written Evidence
2744/05,26-07-2005,09-08-2005,APPEAL WITHDRAWN,Written Evidence
2749/05,20-07-2005,17-11-2005,GRANT PERMISSION,Written Evidence
2757/05,02-08-2005,22-11-2005,REFUSE PERMISSION,Written Evidence
2767/05,27-07-2005,24-11-2005,REMOVE CONDITIONS,Written Evidence
2777/05,20-07-2005,15-12-2005,GRANT PERMISSION,Written Evidence
2782/05,04-08-2005,05-12-2005,AMEND CONDITIONS,Written Evidence
2780/05,29-07-2005,27-01-2006,AMEND CONDITIONS,Written Evidence
2819/05,22-07-2005,15-12-2005,GRANT PERMISSION,Written Evidence
2841/05,22-11-2005,26-07-2006,GRANT PERMISSION,Written Evidence
2840/05,02-08-2005,27-01-2006,GRANT PERMISSION,Written Evidence
2832/05,26-07-2005,21-11-2005,REFUSE PERMISSION,Written Evidence
2853/05,08-08-2005,05-12-2005,GRANT PERMISSION,Written Evidence
2871/05,27-07-2005,24-11-2005,REFUSE PERMISSION,Written Evidence
2875/05,10-11-2005,20-03-2006,REFUSE PERMISSION,Written Evidence
2883/05,05-08-2005,17-01-2006,REFUSE PERMISSION,Written Evidence
2892/05,10-10-2005,20-02-2006,GRANT PERMISSION,Written Evidence
2893/05,29-07-2005,29-11-2005,APPLICATION WITHDRAWN,Written Evidence
2908/05,03-08-2005,26-01-2006,REFUSE PERMISSION,Written Evidence
2914/05,12-08-2005,02-12-2005,REFUSE PERMISSION,Written Evidence
2923/05,12-08-2005,05-12-2005,GRANT PERMISSION,Written Evidence
2935/05,09-08-2005,22-11-2005,REFUSE PERMISSION,Written Evidence
2954/05,10-08-2005,17-01-2006,GRANT PERMISSION,Written Evidence
3001/05,17-08-2005,30-01-2006,GRANT PERMISSION,Written Evidence
3007/05,07-09-2005,29-12-2005,APPEAL WITHDRAWN,Written Evidence
2992/05,16-08-2005,13-12-2005,REFUSE PERMISSION,Written Evidence
3028/05,19-08-2005,16-02-2006,REFUSE PERMISSION,Written Evidence
3021/05,16-08-2005,23-02-2006,GRANT PERMISSION,Written Evidence
3037/05,22-08-2005,19-01-2006,AMEND CONDITIONS,Written Evidence
3046/05,01-12-2005,10-03-2006,APPEAL WITHDRAWN,Written Evidence
3058/05,12-08-2005,19-01-2006,REFUSE PERMISSION,Written Evidence
3075/05,26-09-2005,02-02-2006,GRANT PERMISSION,Written Evidence
3068/05,23-08-2005,19-10-2005,REFUSE PERMISSION,Written Evidence
3071/05,03-01-2006,09-08-2006,GRANT PERMISSION,Written Evidence
3070/05,22-08-2005,18-11-2005,APPEAL WITHDRAWN,Written Evidence
3084/05,NULL,NULL,NULL,NULL
3095/05,16-08-2005,15-12-2005,GRANT PERMISSION,Written Evidence
3108/05,23-08-2005,22-12-2005,REFUSE PERMISSION,Written Evidence
3128/05,12-08-2005,13-12-2005,ATTACH CONDITIONS,Written Evidence
3132/05,18-08-2005,15-12-2005,REFUSE PERMISSION,Written Evidence
3142/05,29-08-2005,31-03-2006,GRANT PERMISSION,Written Evidence
3147/05,19-08-2005,13-12-2005,GRANT PERMISSION,Written Evidence
3154/05,10-08-2005,18-11-2005,REFUSE PERMISSION,Written Evidence
3172/05,29-08-2005,17-11-2005,APPEAL WITHDRAWN,Written Evidence
3200/05,29-08-2005,05-01-2006,ATTACH CONDITIONS,Written Evidence
3204/05,29-08-2005,18-11-2005,APPEAL WITHDRAWN,Written Evidence
3232/05,23-08-2005,03-01-2006,REFUSE PERMISSION,Written Evidence
3235/05,03-03-2006,05-07-2006,AMEND CONDITIONS,Written Evidence
3244/05,05-09-2005,10-01-2006,REFUSE PERMISSION,Written Evidence
3271/05,10-11-2005,24-01-2006,APPEAL WITHDRAWN,Written Evidence
3272/05,05-09-2005,15-02-2006,GRANT PERMISSION,Written Evidence
3279/05,03-01-2006,11-07-2006,REFUSE PERMISSION,Written Evidence
3284/05,07-09-2005,20-01-2006,REFUSE PERMISSION,Written Evidence
3291/05,06-10-2006,06-03-2007,REFUSE PERMISSION,Written Evidence
3303/05,17-10-2005,21-02-2006,REFUSE PERMISSION,Written Evidence
3308/05,01-09-2005,09-01-2006,REFUSE PERMISSION,Written Evidence
3327/05,08-09-2005,13-01-2006,APPLICATION WITHDRAWN,Written Evidence
3341/05,05-09-2005,02-05-2006,REFUSE PERMISSION,Written Evidence
3355/05,08-09-2005,20-10-2005,APPEAL WITHDRAWN,Written Evidence
3366/05,07-09-2005,12-01-2006,REFUSE PERMISSION,Written Evidence
3365/05,14-09-2005,18-01-2006,ATTACH CONDITIONS,Written Evidence
3380/05,23-08-2005,16-11-2005,APPEAL DECLARED INVALID,Written Evidence
3407/05,07-09-2005,13-01-2006,SPLIT DECISION,Written Evidence
3389/05,18-05-2006,20-12-2006,GRANT PERMISSION,Written Evidence
3399/05,24-01-2006,11-07-2006,GRANT PERMISSION,Written Evidence
3421/05,NULL,NULL,NULL,Written Evidence
3427/05,12-09-2005,27-03-2006,REFUSE PERMISSION,Written Evidence
3453/05,13-01-2006,08-08-2006,GRANT PERMISSION,Written Evidence
3446/05,23-08-2005,03-01-2006,GRANT PERMISSION,Written Evidence
3444/05,12-09-2005,19-01-2006,SPLIT DECISION,Written Evidence
3450/05,12-09-2005,18-11-2005,APPEAL WITHDRAWN,Written Evidence
3458/05,14-09-2005,19-01-2006,REFUSE PERMISSION,Written Evidence
3483/05,14-09-2005,01-03-2006,AMEND CONDITIONS,Written Evidence
3482/05,12-09-2005,27-02-2006,AMEND CONDITIONS,Written Evidence
3488/05,14-09-2005,24-01-2006,REFUSE PERMISSION,Written Evidence
3518/05,21-09-2005,24-01-2006,AMEND CONDITIONS,Written Evidence
3487/05,12-09-2005,21-01-2006,REFUSE PERMISSION,Written Evidence
3516/05,12-12-2005,04-07-2006,GRANT PERMISSION,Written Evidence
3499/05,04-10-2005,27-01-2006,REFUSE APPROVAL,Written Evidence
3508/05,15-09-2005,24-01-2006,REFUSE PERMISSION,Written Evidence
3496/05,13-09-2005,18-01-2006,GRANT PERMISSION,Written Evidence
3510/05,12-09-2005,20-01-2006,GRANT PERMISSION,Written Evidence
3535/05,20-09-2005,24-02-2005,GRANT PERMISSION,Written Evidence
3550/05,23-09-2005,01-03-2006,REFUSE PERMISSION,Written Evidence
3566/05,21-09-2005,16-02-2006,GRANT PERMISSION,Written Evidence
3568/05,24-02-2006,25-08-2006,REFUSE PERMISSION,Written Evidence
3596/05,08-09-2005,22-09-2005,APPLICATION WITHDRAWN,Written Evidence
3592/05,28-09-2005,01-02-2006,REFUSE PERMISSION,Written Evidence
3552/05,21-09-2005,29-03-2006,REFUSE PERMISSION,Written Evidence
3621/05,22-09-2005,29-06-2006,GRANT PERMISSION,Written Evidence
3610/05,02-11-2005,14-03-2006,REFUSE PERMISSION,Written Evidence
3644/05,03-01-2006,05-05-2006,GRANT PERMISSION,Written Evidence
3656/05,22-09-2005,29-05-2006,GRANT PERMISSION,Written Evidence
3663/05,14-09-2005,21-04-2006,GRANT PERMISSION,Written Evidence
3660/05,09-12-2005,17-08-2006,GRANT PERMISSION,Written Evidence
3681/05,04-10-2005,01-11-2005,APPEAL WITHDRAWN,Written Evidence
3675/05,03-10-2005,31-03-2006,GRANT PERMISSION,Written Evidence
3698/05,03-10-2005,17-02-2006,AMEND CONDITIONS,Written Evidence
3724/05,13-01-2006,01-07-2006,GRANT PERMISSION,Written Evidence
3712/05,04-10-2005,06-02-2006,GRANT PERMISSION,Written Evidence
3717/05,02-02-2006,30-05-2006,REFUSE PERMISSION,Written Evidence
3715/05,04-10-2005,22-05-2006,GRANT PERMISSION,Written Evidence
3752/05,04-10-2005,10-02-2006,REFUSE PERMISSION,Written Evidence
3762/05,07-10-2005,14-03-2006,GRANT PERMISSION,Written Evidence
3760/05,07-10-2005,08-03-2006,GRANT PERMISSION,Written Evidence
3736/05,04-10-2005,21-04-2006,GRANT PERMISSION,Written Evidence
3782/05,NULL,28-10-2005,LEAVE TO APPEAL REFUSED,Informal
3805/05,01-12-2005,05-04-2006,GRANT PERMISSION,Written Evidence
3808/05,04-10-2005,13-02-2006,GRANT PERMISSION,Written Evidence
3857/05,23-09-2005,30-03-2006,GRANT PERMISSION,Written Evidence
3861/05,07-10-2005,29-03-2006,REFUSE PERMISSION,Written Evidence
3850/05,06-10-2005,09-02-2006,GRANT PERMISSION,Written Evidence
3851/05,10-10-2005,25-04-2006,SPLIT DECISION,Written Evidence
3864/05,13-10-2005,26-04-2006,REFUSE PERMISSION,Written Evidence
3877/05,18-10-2005,22-02-2006,REFUSE PERMISSION,Written Evidence
3873/05,11-10-2005,08-02-2006,REFUSE PERMISSION,Written Evidence
3889/05,18-10-2005,21-02-2006,GRANT PERMISSION,Written Evidence
3896/05,11-10-2005,09-03-2006,REFUSE PERMISSION,Written Evidence
3890/05,13-10-2005,13-04-2006,REFUSE PERMISSION,Written Evidence
3892/05,12-10-2005,09-05-2006,REFUSE PERMISSION,Written Evidence
3895/05,28-09-2005,23-03-2006,REFUSE PERMISSION,Written Evidence
3919/05,17-10-2005,29-06-2006,GRANT PERMISSION,Written Evidence
3950/05,11-10-2005,14-02-2006,REFUSE PERMISSION,Written Evidence
3944/05,10-10-2005,14-02-2006,REFUSE PERMISSION,Written Evidence
3933/05,27-01-2006,29-05-2006,REFUSE OUTLINE PERMISSION,Written Evidence
3927/05,17-10-2005,23-02-2006,GRANT PERMISSION,Written Evidence
3979/05,18-10-2005,11-05-2006,ATTACH CONDITIONS,Written Evidence
3977/05,09-02-2006,31-08-2006,GRANT PERMISSION,Written Evidence
3974/05,24-10-2005,31-07-2006,GRANT PERMISSION,Written Evidence
3973/05,29-11-2005,29-03-2006,REFUSE PERMISSION,Written Evidence
3999/05,14-12-2005,22-05-2006,REFUSE PERMISSION,Written Evidence
3894/05,13-10-2005,09-05-2006,GRANT PERMISSION,Written Evidence
3997/05,21-10-2005,28-02-2006,REFUSE PERMISSION,Written Evidence
4000/05,18-10-2005,07-12-2006,GRANT PERMISSION,Written Evidence
3984/05,NULL,27-03-2006,ATTACH CONDITIONS,Written Evidence
4007/05,20-10-2005,13-04-2006,REFUSE PERMISSION,Written Evidence
4010/05,19-10-2005,28-02-2006,GRANT PERMISSION,Written Evidence
4017/05,20-10-2005,28-02-2006,REFUSE PERMISSION,Written Evidence
4019/05,17-10-2005,22-02-2006,GRANT PERMISSION,Written Evidence
4002/05,26-01-2006,14-07-2006,AMEND CONDITIONS,Written Evidence
4036/05,31-01-2006,31-05-2006,GRANT PERMISSION,Written Evidence
4043/05,21-10-2005,01-03-2006,REFUSE PERMISSION,Written Evidence
4062/05,21-03-2006,19-07-2006,GRANT PERMISSION,Written Evidence
4046/05,21-10-2005,27-04-2006,GRANT PERMISSION,Written Evidence
4065/05,21-10-2005,28-02-2006,REFUSE PERMISSION,Written Evidence
4078/05,NULL,04-11-2005,APPLICATION WITHDRAWN,Written Evidence
4081/05,17-02-2006,18-08-2006,REFUSE PERMISSION,Written Evidence
4090/05,27-10-2005,03-03-2006,REFUSE PERMISSION,Written Evidence
4095/05,17-10-2005,21-02-2006,REFUSE PERMISSION,Written Evidence
4085/05,31-03-2006,11-07-2006,APPEAL WITHDRAWN,Written Evidence
4129/05,16-01-2006,31-01-2006,APPEAL WITHDRAWN,Written Evidence
4151/05,02-11-2005,04-04-2006,AMEND CONDITIONS,Written Evidence
4154/05,03-11-2005,03-04-2006,ATTACH CONDITIONS,Written Evidence
4146/05,20-10-2005,08-12-2005,APPEAL WITHDRAWN,Written Evidence
4107/05,20-10-2005,27-02-2006,REFUSE PERMISSION,Written Evidence
4184/05,24-10-2005,NULL,NULL,Written Evidence
4161/05,25-10-2005,23-12-2005,REFUSE PERMISSION,Written Evidence
4165/05,21-10-2005,02-03-2006,REFUSE PERMISSION,Written Evidence
4206/05,27-10-2005,04-04-2006,GRANT PERMISSION,Written Evidence
4208/05,21-10-2005,01-03-2006,SPLIT DECISION,Written Evidence
4202/05,18-01-2006,29-06-2006,REFUSE PERMISSION,Written Evidence
4168/05,03-11-2005,30-03-2006,REFUSE PERMISSION,Written Evidence
4200/05,18-01-2006,17-07-2006,SPLIT DECISION,Written Evidence
4228/05,08-11-2005,13-03-2006,REFUSE PERMISSION,Written Evidence
4227/05,30-03-2006,02-06-2006,APPEAL WITHDRAWN,Written Evidence
4223/05,08-11-2005,13-03-2006,GRANT PERMISSION,Written Evidence
4221/05,15-11-2005,28-04-2006,REFUSE PERMISSION,Written Evidence
4237/05,02-11-2005,05-04-2006,ATTACH CONDITIONS,Written Evidence
4248/05,16-11-2005,13-03-2006,REFUSE PERMISSION,Written Evidence
4261/05,25-10-2005,12-04-2006,REFUSE PERMISSION,Written Evidence
4257/05,02-11-2005,04-04-2006,REFUSE PERMISSION,Written Evidence
4274/05,18-10-2006,25-10-2006,APPEAL WITHDRAWN,Written Evidence
4258/05,11-11-2005,30-06-2006,REFUSE PERMISSION,Written Evidence
4295/05,08-11-2005,20-03-2006,REFUSE PERMISSION,Written Evidence
4263/05,03-11-2005,15-03-2006,AMEND CONDITIONS,Written Evidence
4290/05,08-11-2005,10-03-2006,REFUSE PERMISSION,Written Evidence
4324/05,09-12-2005,03-07-2006,REFUSE PERMISSION,Written Evidence
4318/05,10-11-2005,21-03-2006,GRANT PERMISSION,Written Evidence
4328/05,10-11-2005,27-03-2006,REFUSE PERMISSION,Written Evidence
4316/05,03-11-2005,04-05-2006,REFUSE PERMISSION,Written Evidence
4351/05,02-11-2005,09-03-2006,GRANT PERMISSION,Written Evidence
4347/05,03-11-2005,14-03-2006,GRANT PERMISSION,Written Evidence
4366/05,16-11-2005,24-03-2006,GRANT PERMISSION,Written Evidence
4403/05,09-11-2005,02-05-2006,REFUSE PERMISSION,Written Evidence
4452/05,02-11-2005,13-03-2006,GRANT PERMISSION,Written Evidence
4448/05,08-02-2006,27-02-2006,APPEAL WITHDRAWN,Written Evidence
4447/05,03-02-2006,31-07-2006,GRANT PERMISSION,Written Evidence
4474/05,03-11-2005,15-03-2006,REFUSE PERMISSION,Written Evidence
4503/05,29-11-2005,10-04-2006,GRANT PERMISSION,Written Evidence
4514/05,23-11-2005,31-03-2006,REFUSE PERMISSION,Written Evidence
4504/05,30-11-2005,10-04-2006,GRANT PERMISSION,Written Evidence
4549/05,23-11-2005,24-04-2006,ATTACH CONDITIONS,Written Evidence
4535/05,15-11-2005,30-06-2006,GRANT PERMISSION,Written Evidence
4536/05,22-11-2005,27-03-2006,REFUSE PERMISSION,Written Evidence
4572/05,10-11-2005,06-12-2005,APPLICATION WITHDRAWN,Written Evidence
4571/05,11-11-2005,21-03-2006,REFUSE OUTLINE PERMISSION,Written Evidence
4582/05,01-12-2005,15-05-2006,ATTACH CONDITIONS,Written Evidence
4600/05,01-12-2005,06-04-2006,GRANT PERMISSION,Written Evidence
4598/05,22-11-2005,NULL,NULL,Written Evidence
4596/05,06-12-2005,25-04-2006,REFUSE PERMISSION,Written Evidence
4607/05,28-11-2005,04-04-2006,GRANT PERMISSION,Written Evidence
4606/05,28-11-2005,07-04-2006,REFUSE PERMISSION,Written Evidence
4620/05,29-11-2005,06-04-2006,GRANT PERMISSION,Written Evidence
4621/05,26-11-2005,31-03-2006,SPLIT DECISION,Written Evidence
4617/05,28-11-2005,07-07-2006,GRANT PERMISSION,Written Evidence
4614/05,23-11-2005,03-04-2006,REFUSE OUTLINE PERMISSION,Written Evidence
4633/05,28-11-2005,06-04-2006,REFUSE PERMISSION,Written Evidence
4640/05,01-12-2005,06-04-2006,GRANT PERMISSION,Written Evidence
4643/05,02-12-2005,04-04-2006,GRANT PERMISSION,Written Evidence
4646/05,NULL,NULL,NULL,NULL
4648/05,22-11-2005,30-03-2006,AMEND CONDITIONS,Written Evidence
4676/05,07-12-2005,04-05-2006,AMEND CONDITIONS,Written Evidence
4697/05,02-12-2005,11-04-2006,REFUSE PERMISSION,Written Evidence
4739/05,12-12-2005,20-04-2006,GRANT PERMISSION,Written Evidence
4735/05,28-11-2005,06-04-2006,REFUSE PERMISSION,Written Evidence
4751/05,01-12-2005,07-04-2006,REFUSE PERMISSION,Written Evidence
4758/05,09-12-2005,25-05-2006,REFUSE PERMISSION,Written Evidence
4764/05,09-12-2005,13-04-2006,REMOVE CONDITIONS,Written Evidence
4814/05,14-12-2005,16-01-2006,APPLICATION WITHDRAWN,Written Evidence
4787/05,12-12-2005,31-05-2006,GRANT PERMISSION,Written Evidence
4841/05,15-12-2005,21-04-2006,REFUSE PERMISSION,Written Evidence
4824/05,14-12-2005,28-04-2006,GRANT PERMISSION,Written Evidence
4823/05,15-03-2006,22-08-2006,REFUSE PERMISSION,Written Evidence
4830/05,08-03-2006,15-09-2006,REFUSE PERMISSION,Written Evidence
4819/05,14-12-2005,09-05-2006,REFUSE PERMISSION,Written Evidence
4837/05,14-12-2005,16-06-2006,REFUSE PERMISSION,Written Evidence
4861/05,02-12-2005,14-06-2006,GRANT PERMISSION,Written Evidence
4866/05,15-12-2005,12-06-2006,GRANT PERMISSION,Written Evidence
4878/05,29-03-2006,31-08-2006,GRANT PERMISSION,Written Evidence
4901/05,07-04-2006,08-09-2006,REFUSE PERMISSION,Written Evidence
4905/05,18-01-2006,10-02-2006,APPEAL WITHDRAWN,Written Evidence
4921/05,27-02-2006,15-08-2006,REFUSE PERMISSION,Written Evidence
4927/05,24-01-2006,13-06-2006,REFUSE PERMISSION,Written Evidence
4948/05,16-12-2005,25-05-2006,ATTACH CONDITIONS,Written Evidence
4945/05,30-12-2005,11-07-2006,APPEAL DECLARED INVALID,Written Evidence
4951/05,22-12-2005,04-07-2006,GRANT PERMISSION,Written Evidence
4966/05,30-12-2005,02-05-2006,SPLIT DECISION,Written Evidence
4976/05,30-12-2005,30-06-2006,GRANT PERMISSION,Written Evidence
4991/05,14-12-2005,19-04-2006,GRANT PERMISSION,Written Evidence
4998/05,03-01-2006,27-06-2006,REFUSE PERMISSION,Written Evidence
5005/05,30-12-2005,29-06-2006,REFUSE PERMISSION,Written Evidence
5020/05,04-01-2006,09-05-2006,REFUSE PERMISSION,Written Evidence
5024/05,30-12-2005,15-06-2006,REFUSE PERMISSION,Written Evidence
5031/05,03-01-2006,11-07-2006,GRANT PERMISSION,Written Evidence
5065/05,04-01-2006,25-01-2006,APPEAL WITHDRAWN,Written Evidence
5069/05,18-12-2006,11-07-2007,APPEAL WITHDRAWN,Written Evidence
5092/05,06-01-2006,07-06-2006,GRANT PERMISSION,Written Evidence
5099/05,13-01-2006,15-05-2006,REFUSE PERMISSION,Written Evidence
5119/05,16-01-2006,12-06-2006,GRANT PERMISSION,Written Evidence
5109/05,04-01-2006,29-03-2006,APPEAL WITHDRAWN,Written Evidence
5100/05,03-01-2006,05-05-2006,REFUSE PERMISSION,Written Evidence
5144/05,31-03-2006,05-09-2006,GRANT PERMISSION,Written Evidence
5135/05,13-01-2006,15-06-2006,REFUSE PERMISSION,Written Evidence
5137/05,09-01-2006,30-06-2006,SPLIT DECISION,Written Evidence
5126/05,09-01-2006,10-05-2006,REFUSE PERMISSION,Written Evidence
5129/05,09-01-2006,10-07-2006,AMEND CONDITIONS,Written Evidence
5155/05,31-01-2006,07-06-2006,GRANT PERMISSION,Written Evidence
5169/05,18-01-2006,17-05-2006,GRANT PERMISSION,Written Evidence
5184/05,03-01-2006,29-06-2006,REFUSE PERMISSION,Written Evidence
5190/05,16-01-2006,19-06-2006,REFUSE PERMISSION,Written Evidence
5191/05,17-01-2006,31-05-2006,AMEND CONDITIONS,Written Evidence
5207/05,16-01-2006,17-05-2006,GRANT PERMISSION,Written Evidence
5259/05,16-01-2006,16-05-2006,GRANT PERMISSION,Written Evidence
5265/05,20-03-2006,29-08-2006,REFUSE PERMISSION,Written Evidence
5274/05,18-08-2006,20-12-2006,GRANT PERMISSION,Written Evidence
5263/05,17-01-2006,12-05-2006,REFUSE PERMISSION,Written Evidence
5280/05,13-01-2006,03-05-2006,APPEAL WITHDRAWN,Written Evidence
5284/05,18-01-2006,20-06-2006,REFUSE PERMISSION,Written Evidence
5317/05,03-08-2006,12-09-2006,APPEAL WITHDRAWN,Written Evidence
5319/05,25-04-2006,20-06-2006,APPEAL DISMISSED,Written Evidence
5379/05,24-01-2006,07-06-2006,APPEAL WITHDRAWN,Written Evidence
5376/05,13-01-2006,11-05-2006,REFUSE PERMISSION,Written Evidence
5362/05,16-01-2006,16-06-2006,REFUSE PERMISSION,Written Evidence
5345/05,09-01-2006,04-07-2006,GRANT PERMISSION,Written Evidence
5414/05,27-01-2006,24-02-2006,APPEAL WITHDRAWN,Written Evidence
5413/05,01-02-2006,30-05-2006,REFUSE PERMISSION,Written Evidence
5429/05,18-01-2006,18-05-2006,REFUSE PERMISSION,Written Evidence
5456/05,13-01-2005,15-05-2006,GRANT PERMISSION,Written Evidence
5468/05,24-01-2006,28-04-2006,GRANT PERMISSION,Written Evidence
5502/05,26-01-2006,23-06-2006,REFUSE PERMISSION,Written Evidence
5493/05,03-04-2006,13-09-2006,REFUSE PERMISSION,Written Evidence
5517/05,06-02-2006,27-07-2006,REFUSE PERMISSION,Written Evidence
5541/05,09-02-2006,31-07-2006,REFUSE PERMISSION,Written Evidence
5561/05,20-04-2006,17-08-2006,GRANT PERMISSION,Written Evidence
5565/05,13-02-2006,21-07-2006,REFUSE PERMISSION,Written Evidence
5575/05,25-01-2006,24-07-2006,REFUSE PERMISSION,Written Evidence
5580/05,08-02-2006,03-04-2006,APPEAL DECLARED INVALID,Written Evidence
5589/05,02-03-2006,14-09-2006,REFUSE PERMISSION,Written Evidence
5608/05,16-02-2006,12-07-2006,REFUSE PERMISSION,Written Evidence
