apnid,APPEAL_NOTIFIED_DATE,APPEAL_DEC_DATE,APPEAL_DECISION,APPEAL_TYPE
4494/17,12-09-2018,21-01-2019,GRANT PERMISSION,Written Evidence
4500/17,28-03-2018,18-10-2018,GRANT RETENTION PERMISSION,Written Evidence
4512/17,26-03-2018,17-07-2018,GRANT PERMISSION,Written Evidence
WEB1625/17,15-03-2018,09-07-2018,GRANT PERMISSION,Written Evidence
4535/17,19-06-2018,15-10-2018,APPEAL WITHDRAWN,Written Evidence
4538/17,28-03-2018,11-07-2018,REMOVE CONDITIONS,Written Evidence
4542/17,04-07-2018,14-11-2018,GRANT PERMISSION,Written Evidence
WEB1629/17,23-03-2018,17-07-2018,AMEND CONDITIONS,Written Evidence
WEB1630/17,29-03-2018,28-08-2018,REMOVE CONDITIONS,Written Evidence
4554/17,27-08-2018,20-05-2019,AMEND CONDITIONS,Written Evidence
4545/17,23-03-2018,06-07-2018,GRANT RETENTION PERMISSION,Written Evidence
4567/17,11-06-2018,20-03-2019,GRANT PERMISSION,Written Evidence
WEB1642/17,29-03-2018,26-07-2018,GRANT PERMISSION,Written Evidence
4588/17,23-03-2018,20-11-2018,REFUSE PERMISSION,Written Evidence
4590/17,27-03-2018,17-09-2018,REFUSE RETENTION PERMISSION,Written Evidence
4594/17,28-03-2018,31-10-2018,SPLIT DECISION,Written Evidence
4596/17,29-03-2018,14-02-2019,SPLIT DECISION,Written Evidence
4611/17,28-03-2018,02-10-2018,REFUSE PERMISSION,Written Evidence
4606/17,10-04-2018,15-08-2018,REFUSE PERMISSION,Written Evidence
4612/17,28-03-2018,03-07-2018,GRANT RETENTION PERMISSION,Written Evidence
4615/17,29-03-2018,03-12-2018,REFUSE PERMISSION,Written Evidence
4613/17,28-03-2018,21-09-2018,GRANT PERMISSION,Written Evidence
